Title,,Multiple,¥ (CNY),Link
不锈钢注塑螺母 M3M4M5M6通孔预埋滚花圆镶嵌国标 直纹 [交易快照],Fitting 3,1,7.9,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=833692892860&mi_id=0000JdUMbDhb0jMa7cNT4ko5vHepLHNb_J7PoW03MVZ4Uww
不锈钢注塑螺母 M3M4M5M6通孔预埋滚花圆镶嵌国标 直纹 [交易快照],Fitting 4,1,,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=833692892860&mi_id=0000JdUMbDhb0jMa7cNT4ko5vHepLHNb_J7PoW03MVZ4Uww
透明硅胶管 内径8mm 外径9/10/11/12/13/14/16mm食品医用 冷水管 [交易快照],Tubing (8x10),1,4.8,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=38955505261&mi_id=00006IEQ_yR0DAQAjTw2rGZEic0Zog8IaL7j__Rw2U3AQWA
透明硅胶管软管食品级0.5/1/1.2/1.3/1.6/1.8/2mm毛细管耐高温 [交易快照],Tubing (1x1.6),1,,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=40127147980&mi_id=0000fg_x1DEu6bPhbW96YQzHLrkGGx8T2uddyGp0UgbWpC8
万向直角宝塔弯头4-M6X1公制螺纹8-M8X1硅胶管管12-M14X1.5冷水管 [交易快照],Fitting 5,2,13.57,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=889054938293&mi_id=0000AYkSow9Z_JRnMrCDu7_20sbh67EQSMuwqdYTqodbn-U
黄铜卡套转快拧直通铜管转气管金属管转软管PU管尼龙管等变径直接 [交易快照],Fitting 6,2,16.6,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=669600619157&mi_id=0000wpaCKisAryn8vuYdAuAH4xLvJKkFWzpmdOWWWm9yqMc
小型宝塔1mm插管2mm宝塔1.5 2.5 3 4 1/16管1/8mm 毛细管宝塔接头 [交易快照],Fitting 7,2,9.78,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=803566514786&mi_id=0000zjbK_H0P-CVqkcuAQgXffaE1R1LhUvAgi4COIZj_n6Y
铜管铝翅片式微型迷你冷凝器小型制冷蒸发器风冷冰箱散热器带风扇 [交易快照],Radiator,1,37,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=779852682900&mi_id=00001KuIJeRiKHuXZYtq8nY9m7ILzKAqRlDCIv4TM8aJ1zY
YBO盈博12cm超薄风扇智能调速散热器实力工厂质保一年 [交易快照],ococoo fan,1,129,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=1000588580689&mi_id=0000L6gukcuAp00uJsRGHHnemXUYIg2DRB3VrHgGJRcpkWw
YBO盈博水泵工业水冷OC-P67F P67E P27水冷水箱散热医疗美容激光 [交易快照],Pump,1,,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=827068254010&mi_id=0000lRh6Bmf5-j5gjG6AVDUk-FU-B8oAqXn4CyvLzE6zNf0
T2紫铜板加工CNC加工数控车床激光切割线割折弯焊接电镀非标定制 [交易快照],Custom Copper Block,1,130,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=994865476571&mi_id=0000J0FUYBvarVVucC90AlmzFYr5_Z7FKJ4f0sIVUWvCoAw
,,,,
